[2022-04-09 22:31:32,516][line: 84] ==> creating ./cache/logs/2022-04-09-22-31.log
[2022-04-09 22:31:50,542][line: 153] ==> ====Epoch:[0/10] avg_train_loss=1.24523====
[2022-04-09 22:31:50,542][line: 154] ==> ====Training epoch took: 00:18====
[2022-04-09 22:32:10,979][line: 163] ==> ====Epoch:[0/10] avg_val_loss=1.00348 avg_val_acc=0.59733====
[2022-04-09 22:32:10,979][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:32:28,251][line: 153] ==> ====Epoch:[1/10] avg_train_loss=0.36507====
[2022-04-09 22:32:28,251][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:32:48,779][line: 163] ==> ====Epoch:[1/10] avg_val_loss=0.43933 avg_val_acc=0.86100====
[2022-04-09 22:32:48,779][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 22:33:06,070][line: 153] ==> ====Epoch:[2/10] avg_train_loss=0.17655====
[2022-04-09 22:33:06,071][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:33:26,642][line: 163] ==> ====Epoch:[2/10] avg_val_loss=0.33400 avg_val_acc=0.90342====
[2022-04-09 22:33:26,642][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 22:33:44,148][line: 153] ==> ====Epoch:[3/10] avg_train_loss=0.11000====
[2022-04-09 22:33:44,148][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:34:04,841][line: 163] ==> ====Epoch:[3/10] avg_val_loss=0.29246 avg_val_acc=0.92258====
[2022-04-09 22:34:04,841][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:34:22,255][line: 153] ==> ====Epoch:[4/10] avg_train_loss=0.06845====
[2022-04-09 22:34:22,255][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:34:42,946][line: 163] ==> ====Epoch:[4/10] avg_val_loss=0.29163 avg_val_acc=0.93092====
[2022-04-09 22:34:42,947][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:35:00,323][line: 153] ==> ====Epoch:[5/10] avg_train_loss=0.05138====
[2022-04-09 22:35:00,324][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:35:20,918][line: 163] ==> ====Epoch:[5/10] avg_val_loss=0.29548 avg_val_acc=0.93575====
[2022-04-09 22:35:20,918][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 22:35:38,471][line: 153] ==> ====Epoch:[6/10] avg_train_loss=0.03499====
[2022-04-09 22:35:38,471][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:35:59,707][line: 163] ==> ====Epoch:[6/10] avg_val_loss=0.30480 avg_val_acc=0.93633====
[2022-04-09 22:35:59,707][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:36:17,320][line: 153] ==> ====Epoch:[7/10] avg_train_loss=0.03077====
[2022-04-09 22:36:17,321][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:36:37,916][line: 163] ==> ====Epoch:[7/10] avg_val_loss=0.31234 avg_val_acc=0.93600====
[2022-04-09 22:36:37,916][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:36:55,302][line: 153] ==> ====Epoch:[8/10] avg_train_loss=0.02360====
[2022-04-09 22:36:55,302][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:37:15,973][line: 163] ==> ====Epoch:[8/10] avg_val_loss=0.33027 avg_val_acc=0.93858====
[2022-04-09 22:37:15,973][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 22:37:33,468][line: 153] ==> ====Epoch:[9/10] avg_train_loss=0.02181====
[2022-04-09 22:37:33,468][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 22:37:54,011][line: 163] ==> ====Epoch:[9/10] avg_val_loss=0.32885 avg_val_acc=0.93883====
[2022-04-09 22:37:54,011][line: 164] ==> ====Validation epoch took: 00:38====
